"멥쌀 과자, 튀밥, 팽화",393,5.6,8.7,3.9,80.7,-,-,74,0,-,-,-
"멥쌀 과자, 쌀엿강정, 팽화",395,3.5,4.11,2.13,89.96,35.58,0,4,0,3787,0,0.02
"멥쌀 국수, 말린것",340,9.8,9.1,1.5,72.6,-,-,1964,0,-,-,-
"멥쌀떡, 가래떡",213,46.4,3.71,0.37,48.8,0.09,0.7,261,0,3114,0,0
"멥쌀떡, 가래떡, 흑미",205,48.1,3.5,0,47.8,-,-,226,0,-,-,-
"멥쌀떡, 개피떡",207,48.7,4.3,0.8,45.6,-,-,155,0,-,-,-
"멥쌀떡, 개피떡, 쑥",206,48.8,4.5,0.8,45.2,-,-,157,0,-,-,-
"멥쌀떡, 꿀떡",210,48.5,3.09,1.46,46.14,7.39,1.6,248,0,2800,0,0.01
"멥쌀떡, 무지개떡",229,42.4,3.5,0.3,53,-,0.2,277,0,-,-,-
"멥쌀떡, 백설기",245,41.4,3.99,0.52,53.45,9.61,0.5,212,0.07,2995,0,0
"멥쌀떡, 백설기, 검정콩",229,43.6,5.75,1.46,48.31,2.2,2.5,223,0,5334,0,0
"멥쌀떡, 송편, 검정콩",200,49.8,6.9,0.8,41.2,-,-,463,0,-,-,-
"멥쌀떡, 송편, 팥",200,49.5,5.4,0.4,43.6,-,-,466,-,-,-,-
"멥쌀떡, 송편, 깨",224,46.4,5.9,2.74,44.01,6.44,1.1,173,0,5843,0,0.01
"멥쌀떡, 모싯잎송편, 동부(국내산)",190,52.2,5.28,0.65,40.64,0,4.2,282,0,4953,0,0
"멥쌀떡, 모싯잎송편, 동부(수입산)",190,52.2,6.03,0.67,39.89,3.18,3.9,242,0.19,5440,0,0
"멥쌀떡, 시루떡",183,53.7,5.83,0.41,38.94,0.94,3.1,233,0,5264,0,0
"멥쌀떡, 절편",215,46.2,3.69,0.49,49.04,0.1,1,220,0,3136,0,0
"멥쌀떡, 증편",198,50.2,2.99,0.57,45.23,8.95,1.6,289,0,2773,0,0.01
"멥쌀떡, 증편, 건포도, 깨",191,51.8,3.04,0.29,44.07,9.02,0,241,0,2462,0,0
"멥쌀미음, 백미",21,95,0.3,0,4.7,0,0,Tr,0,-278.2,0,-
"멥쌀미음, 칠분도미",21,95,0.3,0.1,4.6,0,0,Tr,0,-283.4,0,-
"멥쌀미음, 현미",20,95,0.4,0.1,4.4,-0.1,0.2,Tr,0,-390.7,0,-
"멥쌀밥, 쪄서 말린것",373,10.9,5.2,0.1,83.7,-,-,29,0,-,-,-
"멥쌀밥, 누룽지",393,5.9,6.8,0.2,86.8,-,4.5,6,0,-,-,-
"멥쌀밥, 백미",152,63.6,3,0.1,33.2,-,-,3,0,-,-,-
"멥쌀밥, 칠분도미",168,60,2.6,0.5,36.7,0.2,0.5,1,0,-2449,0,-
"멥쌀밥, 현미",167,58.5,3.3,0.2,37.3,-,-,2,0,-,-,-
"멥쌀밥, 농림나1호, 백미",213,49,2.2,0.1,48.5,-,-,2,0,-,-,-
"멥쌀밥, 농림나1호, 칠분도미",205,50.6,2.5,0.2,46.2,-,-,2,0,-,-,-
"멥쌀밥, 농림나1호, 현미",201,50.2,2.8,0.2,46.1,-,-,2,0,-,-,-
"멥쌀밥, 밭벼, 백미",168,60,3.5,0.3,36.1,-0.1,0.3,1,0,-3233,0,-
"멥쌀밥, 밭벼, 칠분도미",168,60,3.6,0.5,35.7,-0.2,0.5,1,0,-3375,0,-
"멥쌀밥, 밭벼, 현미",164,60,4.1,1,34.3,-1.1,1.4,1,0,-4023,0,-
"멥쌀밥, 새추청벼, 백미",153,63.5,2.5,0.1,33.8,-,-,7,-,-,-,-
"멥쌀밥, 수라벼, 백미",159,61.8,2.4,-,35.7,-,-,4,-,-,-,-
"멥쌀밥, 일품벼, 백미",156,62.6,2.6,0.1,34.6,-,-,5,-,-,-,-
"멥쌀밥, 추청벼, 백미",151,63.8,2.4,-,33.7,-,-,5,-,-,-,-
"즉석밥, 누룽지",415,1.1,6.64,0.84,90.98,1.14,3.7,70,0,5913,0,0.01
"즉석밥, 누룽지, 끓는물 부음",69,83.4,1.32,0.1,15.06,1.15,0.5,13,0,1028,0,0
"즉석밥, 잡곡밥(멥쌀, 찹쌀, 흑미, 팥, 기장, 찰수수)",150,62.5,2.83,0.38,33.76,0.03,0.7,159,0,2717,0,0
"즉석밥, 백미",152,63.9,2.11,0.28,33.59,1.04,1.2,1,0,2242,0,0
"멥쌀죽, 백미",71,82.9,1.4,0,15.6,-,-,3,0,-,-,-
"멥쌀죽, 현미",70,83,1.2,0.4,15.2,-0.4,0.6,1,0,-1170,0,-
"멥쌀죽, 칠분도미",71,83,1.1,0.2,15.6,-0.1,0.2,Tr,0,-1036,0,-
"밀, 통밀, 생것",342,9.2,13.2,1.5,74.6,-,16,-,0,-,-,-
"밀, 도정, 생것",333,10.6,10.6,1,75.8,-,-,17,0,-,-,-
"밀, 강력밀가루",334,12,13.59,1.11,72.89,0,2.5,1,0.15,12419,0,0
"밀, 금강밀, 도정, 생것",329,13.3,13.06,1.28,71.7,0,3.3,1,0,12131,0,0
"밀, 도우넛가루",404,8.4,8.5,6.8,73.9,-,-,778,0,-,-,-
"밀, 박력밀가루",374,11.8,9.15,0.94,77.73,0,2.1,1,0.18,8398,0,0
"밀, 부침가루",368,11.5,9.8,0.98,75.52,3.49,2.5,786,0.01,8895,0,0
"밀, 빵가루",392,7.8,11.95,2.05,77.04,4.74,4.2,306,40.97,10854,0,0.01
"밀, 신미찰밀, 도정, 생것",334,11.5,11.3,1.6,74.2,-,-,6,0,-,-,-
"밀, 중력밀가루",375,11.6,10.34,1.01,76.64,0,2.7,1,0.17,9483,0,0
"밀, 통밀가루 ",365,14.1,11.9,1.6,71.5,-,3.7,5,-,-,-,-
"밀, 튀김가루",367,10.7,7.22,0.8,78.41,0,2.2,876,0,7063,0,0
